profile,seed,stage,generation,best_score
standard,20250951,surface,20,27.885652098682975
standard,20250951,surface,21,27.885652098682975
standard,20250951,surface,22,27.885652098682975
standard,20250951,surface,23,27.885652098682975
standard,20250951,surface,24,27.885652098682975
standard,20250951,surface,25,27.885652098682975
standard,20250951,surface,26,27.885652098682975
standard,20250951,surface,27,27.885652098682975
standard,20250951,surface,28,27.885652098682975
standard,20250951,surface,29,27.885652098682975
standard,20250951,surface,30,27.885652098682975
standard,20250951,surface,31,27.885652098682975
standard,20250951,surface,32,27.885652098682975
standard,20250951,surface,33,27.885652098682975
standard,20250951,surface,34,27.885652098682975
standard,20250951,surface,35,27.885652098682975
standard,20250951,surface,36,27.885652098682975
standard,20250951,surface,37,27.885652098682975
standard,20250951,surface,38,27.885652098682975
standard,20250951,surface,39,27.885652098682975
standard,20250951,surface,40,27.885652098682975
standard,20250951,surface,41,27.885652098682975
standard,20250951,surface,42,27.885652098682975
standard,20250951,surface,43,27.885652098682975
standard,20250951,surface,44,27.885652098682975
standard,20250951,surface,45,27.885652098682975
standard,20250951,surface,46,27.885652098682975
standard,20250951,surface,47,27.885652098682975
standard,20250951,surface,48,27.885652098682975
standard,20250951,surface,49,27.885652098682975
standard,20250951,surface,50,27.885652098682975
standard,20250951,surface,51,27.885652098682975
standard,20250951,surface,52,27.885693220062027
standard,20250951,surface,53,27.894758407235418
standard,20250951,surface,54,27.894758407235418
standard,20250951,surface,55,27.905148143335783
standard,20250951,surface,56,27.905148143335783
standard,20250951,surface,57,27.905148143335783
standard,20250951,surface,58,27.905148143335783
standard,20250951,surface,59,27.905148143335783
standard,20250951,surface,60,27.905148143335783
standard,20250951,surface,61,27.905148143335783
standard,20250951,surface,62,27.905148143335783
standard,20250951,surface,63,27.905148143335783
standard,20250951,surface,64,27.905148143335783
standard,20250951,surface,65,27.905148143335783
standard,20250951,surface,66,27.905148143335783
standard,20250951,surface,67,27.905148143335783
standard,20250951,surface,68,27.905148143335783
standard,20250951,surface,69,27.905148143335783
standard,20250951,surface,70,27.905148143335783
standard,20250951,surface,71,27.905148143335783
standard,20250951,surface,72,27.905148143335783
standard,20250951,surface,73,27.905148143335783
standard,20250951,surface,74,27.905148143335783
standard,20250951,surface,75,27.905148143335783
standard,20250951,surface,76,27.905148143335783
standard,20250951,surface,77,27.905148143335783
standard,20250951,surface,78,27.905148143335783
standard,20250951,surface,79,27.905148143335783
standard,20250951,surface,80,27.905148143335783
standard,20250951,surface,81,27.905148143335783
standard,20250951,surface,82,27.905148143335783
standard,20250951,surface,83,27.905148143335783
standard,20250951,surface,84,27.905148143335783
standard,20250951,surface,85,27.905148143335783
